Acinonyx jubatus		12.09						16.1					45.09																																														22.17																					44.87		14.04		7.28														26.35		
Eupleres goudotii			47.31								23.89																46.24					3.76										30.3			46.49																							36.17			37.13								40.41							26.7				36.82										
Eupleres major							25.23			9.28						15.2					22.97		25.31					8.8			46.91		46.2					38.39		23.58	14.96				17.46			26.21		40.78							2.15					1.02		41.78						32.97				32.01		13.23	21.17	19.57	46.37					7.04					4.63	38.26					8.16					
Felis bieti		15.17										6.87																																						25.18												42.96													34.37				39.24	2.22											37.55									
Felis chaus																																																														48.13																																						
Felis margarita																																																																																																				
Felis nigripes																																										30.15																		12.62																				43.32																				
Felis silvestris																																																																																																				
Fossa fossana									26.11								35.75				21.48	8.77	10.47				24.75																					12.74						47.65																36.48						30.53		44.75								3.49			25.85		15.44									
Galictis cuja																																																																							3.97																													
Galictis vittata																																																																																																			17.0	
Galidia elegans																																																																																																				
Galidictis fasciata		6.97			42.74													26.0																			30.41													41.76		14.36														24.28			41.23								19.07																						11.68	
Galidictis grandidieri	18.9			22.17	16.31	35.73					12.31							11.55					7.91												47.05				37.95			9.63								16.95								12.6		30.05			45.28		23.07	13.39	49.44											15.89			3.3										4.09				4.74	12.76			13.48	
Genetta abyssinica					19.21								30.05	39.13							24.41			29.95										28.69	2.68			12.29																										14.12							11.33	26.03					49.59																							
Genetta angolensis																																																																																																				
Genetta bourloni														34.78										26.01														27.21				27.26									40.64																		27.78					4.98	25.84			48.62														45.95								43.09
Genetta cristata	27.69															36.55			17.18	47.53	43.23												3.08				26.03						22.86								38.47								23.61												1.32		20.11								33.68				28.05														3.17	
Genetta genetta																																																																																																				
Genetta johnstoni																																																														28.88																																						
Genetta maculata																																																																																																				
Genetta pardina																																																																																																				
Genetta piscivora																							16.24																			31.68																									46.81																									43.5								
Genetta poensis																	7.28																															14.7																		28.61										2.22																			28.4				35.0	
Genetta servalina																												27.58	42.53																																																																							
Genetta thierryi																																																																																																				
Genetta tigrina																																					38.56																																																															
Genetta victoriae							34.27																																																																																					32.88								
Gulo gulo																																																																																																				
Halichoerus grypus																																																																																																				
Helarctos malayanus		43.95				12.39									10.97				24.15				50.0																25.52										43.28																																															48.97			25.29	
Helogale hirtula																																																																																																				
Helogale parvula																																																																																																				
Hemigalus derbyanus				15.85																																																																																																
Herpailurus yagouaroundi																																																																					39.07																				33.31											
Herpestes auropunctatus																																																																																																				
Herpestes brachyurus																																																																															24.56																					
Herpestes edwardsii																																						47.38																																																														
Herpestes flavescens																																																																																																				
Herpestes fuscus																																																																																																				
Herpestes ichneumon													38.98																			46.49																																	11.72																																			
Herpestes javanicus																																		46.57																																																					19.23													
Herpestes naso																		48.23																																																																																		
Herpestes ochraceus														25.72																																																																																						
Herpestes pulverulentus																																																																																																				
Herpestes sanguineus																																42.43																																																																				
Herpestes semitorquatus																							20.21								31.8																		35.41																						21.14			6.62																										
Herpestes smithii																																																																																																				
Herpestes urva																																												41.79																																																								
Herpestes vitticollis																																																																																																				
Histriophoca fasciata																																																																																																				
Hyaena hyaena																								26.26		27.4																				49.07																																																						
Hydrictis maculicollis													20.49																45.06									26.03																																			7.99														48.14		33.16											
Hydrurga leptonyx																																																																																																				
Ichneumia albicauda																																																																										25.84																										
Ictonyx libycus																																																																																																				
Ictonyx striatus																																																																																																				
Leopardus colocolo																																																																																																			43.57	
Leopardus geoffroyi																																																																																																				
Leopardus guigna														34.43												32.96																																											47.01												30.87	40.26		27.95						42.95				0.48						28.69
Leopardus guttulus		45.99					43.86										40.17				17.25				30.58									37.03												29.17					44.18					4.92																																									17.24	16.61		
Leopardus jacobita								15.9				49.59	35.88	49.88									29.72					6.15			3.06		8.07								24.98	34.63									33.25		30.75			5.88		25.63								7.83					37.73										43.39				37.16	47.28	48.78					31.02		49.55	17.26	37.81				
Leopardus pardalis																																																																										49.29																										
Leopardus tigrinus																				11.04									48.48										16.43	46.23																													18.69				17.34			34.83														37.73										
Leopardus wiedii							33.98																																																																								30.43							21.3														
Leptailurus serval																									28.13																																															32.23																												
Leptonychotes weddellii																																																																																																				
Liberiictis kuhni											5.78																																	3.81																						29.58					43.7														18.24		18.49							10.6	1.64					
Lobodon carcinophaga																															25.36																																																																					
Lontra canadensis			32.11																																																																																																	
Lontra felina	43.46			26.21			27.29														45.63				0.69						34.07	4.72	27.08	23.37					18.39		20.29	24.63	40.01	3.32			5.16		37.43	16.93							34.71						7.18											8.25	44.48								5.23	39.76				26.54		40.37						29.48		14.77		19.2
Lontra longicaudis																													14.43											37.86																																																												
Lontra provocax				25.44	10.97			48.61		37.57	13.43	9.46		25.29					6.04		9.39	47.66			28.4		46.4	13.39			5.79			24.56	37.38		32.34	40.45				2.92	8.37		11.96				5.17		16.95								29.76	46.86	6.69	5.78								14.42						48.62															10.69	21.68		22.86			40.63			
Lutra lutra								42.96																															48.85																									1.51																																				
